Store,Dept,SKU_ID,Total_Sales,Avg_Weekly_Demand,Demand_StdDev,Weeks_Observed,Store_Size,Forecasted_Weekly_Demand,Lead_Time_Weeks,Safety_Stock_Value,Reorder_Point_Value,Stock_Cover_Weeks,Current_Stock_Value,Stock_Status,Cumulative_Sales,Cumulative_Sales_Percentage,ABC_Class,Action_Recommendation
10,72,10_72,18520019.89,141374.19763358778,76996.90199472623,131,126512,113365.6171875,1,127044.88829129827,240410.50547879827,2,282748.39526717557,Stock Sufficient,223918492.97999996,0.03625315376994051,A,Stock Sufficient
13,95,13_95,18071708.46,137951.97297709924,14024.0123839168,131,219622,150085.1875,1,23139.620433462722,173224.80793346273,7,965663.8108396947,Stock Sufficient,241990201.43999997,0.03917902387993823,A,Stock Sufficient
1,92,1_92,17829360.32,136101.98717557252,17011.698884612164,131,151315,147051.890625,3,48617.45920549826,489773.1310804983,1,136101.98717557252,Reorder Required,259819561.75999996,0.042065657014604636,A,Urgent Reorder - High Priority SKU
31,92,31_92,16704643.52,127516.3627480916,13833.961697233097,131,203750,127752.859375,3,39535.85547378968,422794.4335987897,2,255032.7254961832,Reorder Required,276524205.28,0.04477019473341061,A,Urgent Reorder - High Priority SKU
24,92,24_92,16015491.03,122255.65671755724,12751.858050827028,131,203819,133814.84375,1,21040.565783864597,154855.4095338646,2,244511.31343511448,Stock Sufficient,292539696.30999994,0.04736315635656494,A,Stock Sufficient
1,95,1_95,15920246.38,121528.59832061069,10228.971247194453,131,151315,125910.0859375,3,29233.211550348264,406963.46936284826,2,243057.19664122138,Reorder Required,308459942.68999994,0.04994069755197228,A,Urgent Reorder - High Priority SKU
27,95,27_95,15649115.03,119458.89335877862,13555.905177501421,131,204184,113668.2421875,2,31632.059171239176,258968.54354623918,8,955671.1468702289,Stock Sufficient,324109057.7199999,0.05247434167397318,A,Stock Sufficient
41,92,41_92,15357545.83,117233.17427480916,14684.029495008615,131,196321,127251.8046875,2,34264.48354251076,288768.0929175108,4,468932.69709923666,Stock Sufficient,339466603.5499999,0.05496077976621966,A,Stock Sufficient
13,90,13_90,15264469.85,116522.67061068703,11172.677045467803,131,219622,124897.2734375,1,18434.917125021875,143332.19056252186,3,349568.0118320611,Stock Sufficient,354731073.3999999,0.0574321485456536,A,Stock Sufficient
19,92,19_92,14889540.43,113660.61396946564,11152.179667878429,131,203819,119909.8359375,3,31871.63396983837,391601.1417823384,1,113660.61396946564,Reorder Required,369620613.8299999,0.059842814996596314,A,Urgent Reorder - High Priority SKU
39,92,39_92,14586812.47,111349.71351145039,15170.839860114247,131,184109,125695.4609375,1,25031.885769188506,150727.34670668852,8,890797.7080916031,Stock Sufficient,384207426.29999995,0.062204468777177224,A,Stock Sufficient
20,38,20_38,14468262.51,110444.75198473282,10182.283295882226,131,203742,115738.046875,3,29099.782809121032,376313.923434121,2,220889.50396946564,Reorder Required,398675688.80999994,0.0645469289222879,A,Urgent Reorder - High Priority SKU
10,2,10_2,14306257.68,109208.07389312977,7945.741973146335,131,126512,102938.15625,1,13110.474255691452,116048.63050569146,8,873664.5911450381,Stock Sufficient,412981946.48999995,0.06686315994297344,A,Stock Sufficient
31,95,31_95,14050778.98,107257.85480916032,7701.351207217553,131,203750,106153.6328125,2,17970.736287645028,230278.00191264504,1,107257.85480916032,Reorder Required,427032725.46999997,0.06913802810669802,A,Urgent Reorder - High Priority SKU
3,38,3_38,13976140.53,106688.09564885496,17599.23384009762,131,37392,86351.7109375,2,41066.9740536686,213770.39592866861,1,106688.09564885496,Reorder Required,441008865.99999994,0.07140081205545228,A,Urgent Reorder - High Priority SKU
14,90,14_90,13948286.0,106475.46564885497,12078.845128697993,131,200898,89913.4140625,2,28185.409888034676,208012.2380130347,3,319426.3969465649,Stock Sufficient,454957151.99999994,0.07365908626253295,A,Stock Sufficient
39,95,39_95,13645287.46,104162.4996946565,9540.82664778428,131,184109,119005.7265625,2,22263.064628552816,260274.51775355282,1,104162.4996946565,Reorder Required,468602439.4599999,0.07586830399144383,A,Urgent Reorder - High Priority SKU
26,38,26_38,13560665.64,103516.53160305344,8931.14080851255,131,152513,98121.0546875,1,14736.382334045706,112857.4370215457,1,103516.53160305344,Reorder Required,482163105.0999999,0.0780638211643536,A,Urgent Reorder - High Priority SKU
14,38,14_38,13399811.28,102288.63572519083,10824.521335943695,131,200898,81347.3515625,3,30935.224520421896,274977.2792079219,8,818309.0858015267,Stock Sufficient,495562916.3799999,0.0802332954777834,A,Stock Sufficient
4,72,4_72,13330412.57,101758.87458015267,48695.706279259815,131,205863,98289.640625,3,139166.6716871125,434035.59356211254,8,814070.9966412213,Stock Sufficient,508893328.94999987,0.08239153390769337,A,Stock Sufficient
32,92,32_92,13166927.51,100510.89702290077,10951.369283565597,131,203007,101669.8125,2,25554.498696168077,228894.12369616807,5,502554.4851145038,Stock Sufficient,522060256.45999986,0.08452330355898485,A,Stock Sufficient
6,92,6_92,12964578.16,98966.24549618321,12623.008964654078,131,202505,98754.5546875,1,20827.964791679227,119582.51947917923,6,593797.4729770992,Stock Sufficient,535024834.6199999,0.08662231217297581,A,Stock Sufficient
10,40,10_40,12946204.62,98825.98946564885,6379.602089165886,131,126512,95463.46875,4,21052.686894247425,402906.5618942474,2,197651.9789312977,Reorder Required,547971039.2399999,0.0887183460493198,A,Urgent Reorder - High Priority SKU
28,92,28_92,12917798.64,98609.14992366412,22999.283808493,131,206302,89983.15625,2,53667.73349328391,233634.04599328391,8,788873.199389313,Stock Sufficient,560888837.8799999,0.09080978090238875,A,Stock Sufficient
2,90,2_90,12792667.74,97653.95221374046,8950.753800414745,131,202307,100827.25,4,29537.487541368657,432846.48754136864,1,97653.95221374046,Reorder Required,573681505.6199999,0.09288095664376622,A,Urgent Reorder - High Priority SKU
19,95,19_95,12694969.09,96908.16099236641,9460.668770646904,131,203819,95954.453125,1,15610.10347156739,111564.55659656739,6,581448.9659541985,Stock Sufficient,586376474.7099999,0.09493631464657987,A,Stock Sufficient
40,92,40_92,12660393.8,96644.22748091603,12103.390306877169,131,155083,102548.125,1,19970.594006347328,122518.71900634732,1,96644.22748091603,Reorder Required,599036868.5099999,0.09698607479417247,A,Urgent Reorder - High Priority SKU
20,90,20_90,12589224.3,96100.94885496184,9548.551508598615,131,203742,97386.2109375,1,15755.109989187715,113141.32092668771,2,192201.89770992368,Stock Sufficient,611626092.8099998,0.09902431236141501,A,Stock Sufficient
28,95,28_95,12572621.17,95974.20740458016,15701.111752504452,131,206302,88128.875,1,25906.834391632343,114035.70939163235,1,95974.20740458016,Reorder Required,624198713.9799998,0.10105986182631753,A,Urgent Reorder - High Priority SKU
27,90,27_90,12569194.59,95948.05030534351,7589.248517088533,131,204184,91182.4375,1,12522.260053196078,103704.69755319608,7,671636.3521374046,Stock Sufficient,636767908.5699998,0.10309485651644469,A,Stock Sufficient
4,2,4_2,12387833.26,94563.61267175572,7828.812348182339,131,205863,97275.4921875,3,22373.83623745779,314200.3127999578,5,472818.0633587786,Stock Sufficient,649155741.8299998,0.10510048819998445,A,Stock Sufficient
24,95,24_95,12350091.01,94275.50389312977,12137.383637464849,131,203819,94428.2421875,2,28322.006710516333,217178.49108551635,4,377102.0155725191,Stock Sufficient,661505832.8399998,0.10710000928687512,A,Stock Sufficient
14,72,14_72,12108958.99,92434.80145038168,53625.63641965767,131,200898,76117.1640625,3,153255.83933065404,381607.331518154,2,184869.60290076336,Reorder Required,673614791.8299998,0.10906049029233447,A,Urgent Reorder - High Priority SKU
20,72,20_72,11944548.41,91179.75885496184,52768.11326584855,131,203742,78760.7265625,1,87067.3868886501,165828.1134511501,7,638258.3119847329,Stock Sufficient,685559340.2399998,0.1109943526743884,A,Stock Sufficient
14,91,14_91,11810421.61,90155.89015267175,12015.6590724072,131,200898,73911.484375,1,19825.837469471877,93737.32184447188,6,540935.3409160306,Stock Sufficient,697369761.8499998,0.11290649947841946,A,Stock Sufficient
41,95,41_95,11797101.34,90054.20870229008,9506.740512249638,131,196321,99787.5625,2,22183.526254535554,221758.65125453557,2,180108.41740458016,Reorder Required,709166863.1899998,0.11481648968613666,A,Urgent Reorder - High Priority SKU
4,90,4_90,11762625.52,89791.03450381679,9046.53651615496,131,205863,96267.1796875,4,29853.570503311366,414922.28925331135,4,359164.13801526715,Reorder Required,720929488.7099998,0.11672089814315889,A,Urgent Reorder - High Priority SKU
6,95,6_95,11701141.24,89321.68885496183,11105.69315247009,131,202505,90543.3125,2,25914.606095032406,207001.23109503242,5,446608.44427480915,Stock Sufficient,732630629.9499998,0.11861535208937853,A,Stock Sufficient
10,38,10_38,11522836.39,87960.583129771,11954.775187010242,131,126512,83097.59375,2,27895.898587575542,194091.08608757553,8,703684.665038168,Stock Sufficient,744153466.3399998,0.1204809378833569,A,Stock Sufficient
20,40,20_40,11331170.12,86497.48183206106,5387.3550532060035,131,203742,88800.515625,3,15396.434906433453,281797.98178143345,5,432487.40916030534,Stock Sufficient,755484636.4599998,0.1223154922664574,A,Stock Sufficient
31,90,31_90,11327741.76,86471.31114503817,7737.163553936958,131,203750,89342.9296875,1,12766.319863995981,102109.24955149597,2,172942.62229007634,Stock Sufficient,766812378.2199998,0.12414949158659455,A,Stock Sufficient
10,8,10_8,11311588.61,86348.00465648854,3972.3280819056026,131,126512,84236.859375,3,11352.45220261866,264063.03032761865,8,690784.0372519083,Stock Sufficient,778123966.8299998,0.1259808756576604,A,Stock Sufficient
26,92,26_92,11212383.05,85590.71030534351,11377.827982018627,131,152513,94698.6640625,3,32516.510638647964,316612.50282614795,2,171181.42061068703,Reorder Required,789336349.8799998,0.1277961980163877,A,Urgent Reorder - High Priority SKU
35,72,35_72,11181764.08,85356.97770992367,73096.55256928314,131,103681,82672.890625,3,208901.45579841078,456920.1276734108,4,341427.91083969467,Reorder Required,800518113.9599998,0.12960656306134916,A,Urgent Reorder - High Priority SKU
32,95,32_95,11139278.18,85032.65786259541,5738.362372480234,131,203007,84769.625,3,16399.573049272458,270708.44804927247,6,510195.9471755725,Stock Sufficient,811657392.1399997,0.13141004949684312,A,Stock Sufficient
42,92,42_92,10994388.9,83926.63282442748,13060.886590259553,131,39690,82834.90625,4,43100.92574785653,374440.5507478565,2,167853.26564885495,Reorder Required,822651781.0399997,0.13319007787276574,A,Urgent Reorder - High Priority SKU
13,38,13_38,10979110.34,83810.00259541985,9273.573075506103,131,219622,88410.9140625,2,21639.441144813864,198461.26926981387,6,502860.0155725191,Stock Sufficient,833630891.3799998,0.13496763259866645,A,Stock Sufficient
43,92,43_92,10898863.84,83197.43389312977,8349.06514280082,131,41062,80309.015625,3,23860.658288004983,264787.705163005,3,249592.30167938932,Reorder Required,844529755.2199998,0.13673219514752416,A,Urgent Reorder - High Priority SKU
1,90,1_90,10888451.55,83117.95076335878,8348.399150671736,131,151315,88792.59375,2,19480.591849923596,197065.7793499236,2,166235.90152671756,Reorder Required,855418206.7699997,0.1384950719117669,A,Urgent Reorder - High Priority SKU
2,38,2_38,10884017.540000001,83084.10335877864,10426.98127384305,131,202307,69167.40625,1,17204.519101841033,86371.92535184103,7,581588.7235114505,Stock Sufficient,866302224.3099997,0.14025723079494407,A,Stock Sufficient
13,91,13_91,10613006.97,81015.3203816794,5379.755549133823,131,219622,82784.7890625,2,12553.403378731,178122.981503731,5,405076.601908397,Stock Sufficient,876915231.2799997,0.1419755121594012,A,Stock Sufficient
6,72,6_72,10539518.38,80454.33877862596,37457.24633980729,131,202505,74153.390625,4,123608.91292136404,420222.47542136407,8,643634.7102290076,Stock Sufficient,887454749.6599997,0.14368189547507215,A,Stock Sufficient
31,38,31_38,10538440.15,80446.10801526718,7864.945004374738,131,203750,72292.2109375,4,25954.318514436636,315123.16226443666,3,241338.32404580154,Reorder Required,897993189.8099997,0.14538810422169582,A,Urgent Reorder - High Priority SKU
2,91,2_91,10529887.59,80380.82129770992,5424.800166033117,131,202307,80978.5,4,17901.840547909287,341815.84054790926,8,643046.5703816793,Stock Sufficient,908523077.3999997,0.14709292828021855,A,Stock Sufficient
4,38,4_38,10481445.07,80011.03106870229,7805.479255951533,131,205863,74597.1328125,4,25758.081544640056,324146.61279464007,4,320044.12427480915,Reorder Required,919004522.4699998,0.148789909332551,A,Urgent Reorder - High Priority SKU
39,90,39_90,10439338.07,79689.60358778626,8129.996552261161,131,184109,86224.9453125,2,18970.95978731949,191420.8504123195,5,398448.0179389313,Stock Sufficient,929443860.5399998,0.15048007312059467,A,Stock Sufficient
27,2,27_2,10392058.18,79328.68839694656,8277.558832562972,131,204184,79064.2109375,2,19315.289341180403,177443.7112161804,4,317314.7535877862,Stock Sufficient,939835918.7199998,0.15216258213613792,A,Stock Sufficient
4,40,4_40,10308584.01,78691.48099236641,5378.449811469378,131,205863,80832.5078125,2,12550.356502072967,174215.37212707297,5,393457.4049618321,Stock Sufficient,950144502.7299998,0.1538315764040578,A,Stock Sufficient
1,38,1_38,10297213.4,78604.68244274809,11691.646081137527,131,151315,75352.6484375,2,27281.899349778047,177987.19622477805,4,314418.72977099236,Stock Sufficient,960441716.1299998,0.15549872973214596,A,Stock Sufficient
20,2,20_2,10285553.4,78515.67480916031,6825.661946905884,131,203742,78003.921875,1,11262.342212394708,89266.26408739471,3,235547.02442748094,Stock Sufficient,970727269.5299997,0.1571639952671924,A,Stock Sufficient
9,38,9_38,10251247.05,78253.79427480916,9053.97689456832,131,125833,67899.515625,3,25875.214186712576,229573.76106171258,8,626030.3541984733,Stock Sufficient,980978516.5799997,0.15882370648930433,A,Stock Sufficient
17,38,17_38,10238149.93,78153.81625954199,9694.173413705006,131,93188,82069.9140625,2,22620.892004136203,186760.7201291362,3,234461.44877862596,Stock Sufficient,991216666.5099996,0.1604812972438346,A,Stock Sufficient
20,91,20_91,10223580.52,78042.59938931298,9541.022808570508,131,203742,77537.859375,2,22263.522360405892,177339.24111040588,6,468255.5963358779,Stock Sufficient,1001440247.0299996,0.16213652916210242,A,Stock Sufficient
2,40,2_40,10167960.27,77618.01732824427,4999.109910003641,131,202307,77462.828125,4,16497.062703012012,326348.375203012,8,620944.1386259542,Stock Sufficient,1011608207.2999996,0.16378275597565944,A,Stock Sufficient
19,38,19_38,10164628.65,77592.58511450382,7972.389341408286,131,203819,70605.015625,1,13154.442413323672,83759.45803832368,7,543148.0958015267,Stock Sufficient,1021772835.9499996,0.16542844338878304,A,Stock Sufficient
13,40,13_40,10159860.59,77556.18770992366,4150.256354953838,131,219622,80038.421875,4,13695.845971347666,333849.53347134765,4,310224.75083969464,Reorder Required,1031932696.5399996,0.16707335883702754,A,Urgent Reorder - High Priority SKU
11,95,11_95,10144431.459999999,77438.40809160305,6560.868224080156,131,207499,78162.515625,4,21650.865139464513,334300.9276394645,1,77438.40809160305,Reorder Required,1042077127.9999996,0.16871577625746298,A,Urgent Reorder - High Priority SKU
14,2,14_2,10143060.15,77427.94007633589,9420.378865182867,131,200898,63637.83984375,1,15543.62512755173,79181.46497130173,6,464567.6404580153,Stock Sufficient,1052220188.1499996,0.17035797165821778,A,Stock Sufficient
11,92,11_92,10124821.88,77288.71664122138,8427.595553205208,131,207499,80242.1640625,2,19665.392883737688,180149.7210087377,8,618309.7331297711,Stock Sufficient,1062345010.0299996,0.17199721422199157,A,Stock Sufficient
23,72,23_72,10079318.18,76941.36015267175,44144.08371974139,131,114533,71759.7109375,4,145675.4762751466,432714.3200251466,2,153882.7203053435,Reorder Required,1072424328.2099996,0.17362908958437326,A,Urgent Reorder - High Priority SKU
20,8,20_8,10043951.78,76671.38763358779,6017.5694406703,131,203742,80926.453125,2,14041.7117206044,175894.6179706044,5,383356.93816793896,Stock Sufficient,1082468279.9899995,0.175255239008176,A,Stock Sufficient
13,72,13_72,10040745.61,76646.91305343511,31993.108720687553,131,219622,69699.515625,2,74654.3956212009,214053.4268712009,2,153293.82610687023,Reorder Required,1092509025.5999994,0.17688086934232036,A,Urgent Reorder - High Priority SKU
13,2,13_2,10032485.34,76583.8575572519,7533.672594387566,131,219622,78454.6875,2,17579.466229811307,174488.8412298113,1,76583.8575572519,Reorder Required,1102541510.9399993,0.1785051623110935,A,Urgent Reorder - High Priority SKU
6,38,6_38,10020482.54,76492.23312977099,9247.92690906804,131,202505,69659.7421875,3,26429.500797462257,235408.72735996224,8,611937.8650381679,Stock Sufficient,1112561993.4799993,0.18012751198635713,A,Stock Sufficient
13,94,13_94,9907806.58,75632.11129770993,10001.429440384965,131,219622,76946.1875,2,23337.859310221458,177230.23431022145,1,75632.11129770993,Reorder Required,1122469800.0599992,0.1817316190464187,A,Urgent Reorder - High Priority SKU
12,2,12_2,9781628.43,74668.9193129771,5001.6615852747,131,112238,75470.75,2,11671.139119688392,162612.6391196884,8,597351.3545038168,Stock Sufficient,1132251428.4899993,0.18331529744150726,A,Stock Sufficient
10,95,10_95,9578388.78,73117.47160305343,7771.851629269652,131,126512,70174.9296875,2,18135.245665126553,158485.10504012654,1,73117.47160305343,Reorder Required,1141829817.2699993,0.18486607065674424,A,Urgent Reorder - High Priority SKU
24,90,24_90,9572388.61,73071.66877862594,6634.876431170722,131,203819,75943.5,1,10947.546111431691,86891.04611143169,3,219215.0063358778,Stock Sufficient,1151402205.8799992,0.18641587242436755,A,Stock Sufficient
11,38,11_38,9539499.73,72820.6086259542,8372.377011598111,131,207499,66623.625,3,23927.280900945858,223798.15590094586,2,145641.2172519084,Reorder Required,1160941705.6099992,0.18796034937219555,A,Urgent Reorder - High Priority SKU
43,95,43_95,9534684.15,72783.84847328244,7531.822785295576,131,41062,69807.9140625,1,12427.5075957377,82235.4216582377,2,145567.6969465649,Stock Sufficient,1170476389.7599993,0.18950404666149734,A,Stock Sufficient
2,72,2_72,9510988.16,72602.96305343512,35119.358134457456,131,202307,70894.0234375,2,81949.34974971956,223737.39662471955,4,290411.85221374047,Stock Sufficient,1179987377.9199994,0.19104390749067576,A,Stock Sufficient
1,93,1_93,9499528.41,72515.48404580152,9201.631821980089,131,151315,75411.3984375,1,15182.692506267145,90594.09094376715,4,290061.9361832061,Stock Sufficient,1189486906.3299994,0.19258191294795798,A,Stock Sufficient
14,40,14_40,9420164.6,71909.6534351145,6597.843666118703,131,200898,66020.4609375,4,21772.88409819172,285854.72784819175,7,503367.5740458015,Stock Sufficient,1198907070.9299994,0.19410706913866374,A,Stock Sufficient
41,90,41_90,9397974.5,71740.26335877863,7188.922451896348,131,196321,78708.90625,4,23723.44409125795,338559.06909125793,6,430441.5801526718,Stock Sufficient,1208305045.4299994,0.19562863267787936,A,Stock Sufficient
19,72,19_72,9391240.04,71688.85526717556,39787.47726187063,131,203819,67214.1953125,2,92842.18342797515,227270.57405297516,8,573510.8421374045,Stock Sufficient,1217696285.4699993,0.1971491058854717,A,Stock Sufficient
11,72,11_72,9353036.73,71397.22694656489,27361.35688546035,131,207499,76062.8984375,3,78195.57947790906,306384.2747904091,5,356986.1347328244,Stock Sufficient,1227049322.1999993,0.19866339384925716,A,Stock Sufficient
2,93,2_93,9335608.14,71264.18427480916,8513.75324405301,131,202307,75830.25,2,19866.43775232221,171526.9377523222,4,285056.73709923663,Stock Sufficient,1236384930.3399994,0.2001748600659647,A,Stock Sufficient
22,38,22_38,9268371.86,70750.93022900763,8913.455082400667,131,119557,73074.3359375,4,29414.4017719222,321711.7455219222,5,353754.65114503814,Stock Sufficient,1245653302.1999993,0.2016754405038099,A,Stock Sufficient
23,2,23_2,9266025.03,70733.0154961832,11911.869653027037,131,114533,76865.28125,3,34042.73969609812,264638.58344609814,1,70733.0154961832,Reorder Required,1254919327.2299993,0.2031756409820201,A,Urgent Reorder - High Priority SKU
26,95,26_95,9256769.7,70662.3641221374,8887.582119672015,131,152513,74508.25,2,20738.749631068895,169755.2496310689,3,211987.0923664122,Stock Sufficient,1264176096.9299994,0.2046743429913133,A,Stock Sufficient
31,91,31_91,9197617.21,70210.81839694658,5272.808324054911,131,203750,70192.2109375,4,17400.267469381208,298169.1112193812,3,210632.4551908397,Reorder Required,1273373714.1399994,0.2061634680144125,A,Urgent Reorder - High Priority SKU
27,40,27_40,9186575.63,70126.53152671756,4056.2664474253224,131,204184,71153.28125,2,9465.104587203909,151771.6670872039,8,561012.2522137405,Stock Sufficient,1282560289.7699995,0.2076508053687387,A,Stock Sufficient
2,94,2_94,9156726.07,69898.67229007634,7292.328794482558,131,202307,71356.890625,2,17016.301966027775,159730.08321602776,8,559189.3783206107,Stock Sufficient,1291717015.8399994,0.20913330997935423,A,Stock Sufficient
4,13,4_13,9145912.12,69816.1230534351,4762.594345634756,131,205863,75414.671875,4,15716.561340594693,317375.24884059466,1,69816.1230534351,Reorder Required,1300862927.9599993,0.2106140637752559,A,Urgent Reorder - High Priority SKU
34,95,34_95,9145371.85,69811.99885496183,5038.186710988493,131,158114,70710.125,1,8313.008073131014,79023.13307313102,1,69811.99885496183,Reorder Required,1310008299.8099992,0.21209473009963556,A,Urgent Reorder - High Priority SKU
27,94,27_94,9098801.5,69456.5,9917.809184985059,131,204184,61223.6015625,3,28343.946523476206,212014.75121097622,5,347282.5,Stock Sufficient,1319107101.3099992,0.21356785652841664,A,Stock Sufficient
31,94,31_94,9061666.42,69173.02610687022,7036.671673824705,131,203750,69618.96875,3,20109.99021115445,228966.89646115445,6,415038.1566412214,Stock Sufficient,1328168767.7299993,0.21503497066340463,A,Stock Sufficient
4,93,4_93,9025730.04,68898.70259541985,8069.5927171669955,131,205863,76323.4375,1,13314.827983325542,89638.26548332554,7,482290.91816793894,Stock Sufficient,1337194497.7699993,0.2164962665781432,A,Stock Sufficient
4,94,4_94,8988162.24,68611.9254961832,7981.229733711289,131,205863,73186.34375,2,18623.81950081935,164996.50700081934,2,137223.8509923664,Reorder Required,1346182660.0099993,0.2179514801402718,A,Urgent Reorder - High Priority SKU
39,2,39_2,8959091.49,68390.0113740458,7672.734582507247,131,184109,75013.375,3,21927.784114323993,246967.909114324,3,205170.0341221374,Reorder Required,1355141751.4999993,0.2194019870506365,A,Urgent Reorder - High Priority SKU
34,92,34_92,8930532.06,68172.00045801527,8575.433559838053,131,158114,72518.9609375,1,14149.465373732786,86668.42631123279,2,136344.00091603055,Stock Sufficient,1364072283.5599992,0.2208478700936573,A,Stock Sufficient
37,38,37_38,8929446.75,68163.71564885497,9431.706158027586,131,39910,61162.0,2,22008.437162250742,144332.43716225075,1,68163.71564885497,Reorder Required,1373001730.3099992,0.22229357742135517,A,Urgent Reorder - High Priority SKU
27,72,27_72,8866141.56,67680.46992366413,46509.256695419215,131,204184,55613.3671875,2,108527.13563101333,219753.8700060133,4,270721.8796946565,Stock Sufficient,1381867871.8699992,0.22372903542682435,A,Stock Sufficient
19,90,19_90,8831720.959999999,67417.71725190838,6272.461768026853,131,203819,66118.2109375,4,20699.123834488615,285171.9675844886,6,404506.3035114503,Stock Sufficient,1390699592.8299992,0.22515892062190151,A,Stock Sufficient
40,95,40_95,8756272.72,66841.77648854963,8276.267779973223,131,155083,68742.0859375,4,27311.683673911633,302280.0274239116,4,267367.1059541985,Reorder Required,1399455865.5499992,0.22657659049429588,A,Urgent Reorder - High Priority SKU
22,72,22_72,8695229.92,66375.80091603054,44920.46132633974,131,119557,58464.1640625,3,128377.46017247789,303769.9523599779,3,199127.4027480916,Reorder Required,1408151095.4699993,0.22798437733297786,A,Urgent Reorder - High Priority SKU
4,91,4_91,8686791.19,66311.38312977098,5459.581757230985,131,205863,69279.9296875,2,12739.67403383531,151299.5334088353,4,265245.53251908394,Stock Sufficient,1416837886.6599994,0.22939079791301709,A,Stock Sufficient
27,91,27_91,8647529.45,66011.67519083968,5556.229101502265,131,204184,61829.32421875,2,12965.196009144356,136623.84444664436,8,528093.4015267175,Stock Sufficient,1425485416.1099994,0.2307908618858884,A,Stock Sufficient
10,23,10_23,8642989.04,65977.01557251907,16486.19637635891,131,126512,54923.953125,3,47115.634083229044,211887.49345822906,5,329885.0778625953,Stock Sufficient,1434128405.1499994,0.23219019075117786,A,Stock Sufficient
2,2,2_2,8626228.48,65849.07236641222,4960.030837121084,131,202307,65720.9765625,3,14175.191938053476,211338.12162555347,4,263396.2894656489,Stock Sufficient,1442754633.6299994,0.23358680602568319,A,Stock Sufficient
6,40,6_40,8593847.19,65601.88694656487,4167.05721582563,131,202505,65857.5859375,2,9723.629569178705,141438.8014441787,3,196805.6608396946,Stock Sufficient,1451348480.8199995,0.23497817866091378,A,Stock Sufficient
28,90,28_90,8593157.72,65596.6238167939,10154.32989507359,131,206302,63469.9140625,1,16754.64432687142,80224.55838937142,8,524772.9905343512,Stock Sufficient,1459941638.5399995,0.23636943966864277,A,Stock Sufficient
1,91,1_91,8453464.95,64530.266793893126,6168.705511246664,131,151315,66003.265625,1,10178.364093556995,76181.629718557,4,258121.0671755725,Stock Sufficient,1468395103.4899995,0.23773808394916912,A,Stock Sufficient
10,9,10_9,8438912.17,64419.17687022901,10742.855755521368,131,126512,61321.3046875,2,25067.942308325702,147710.5516833257,5,322095.884351145,Stock Sufficient,1476834015.6599996,0.23910437208588572,A,Stock Sufficient
18,38,18_38,8422251.06,64291.992824427485,6642.18760573598,131,120653,58665.2578125,2,15499.228463166191,132829.7440881662,7,450043.9497709924,Stock Sufficient,1485256266.7199996,0.24046796273310614,A,Stock Sufficient
